Genetic Algorithm Run Parameters and Results
Run directory: Results\GA_20251120_172539
Timestamp: 20251120_172539

Parameters:
  chromosome_length   = 68
  population_size     = 20
  max_generations     = 20
  crossover_rate      = 0.8
  mutation_rate       = 0.2
  mutation_step       = 0.1
  tournament_k        = 3
  num_cores           = 19
  death_penalty_scale = 10.0

Summary:
  total_time_seconds      = 129.5696
  best_overall_fitness    = 50.000000
  num_generations_ran     = 20

Per generation scores:
  gen_index, training_best, seed0_eval
  0, 20.000000, -64.000000
  1, -16.000000, -33.000000
  2, -68.000000, -62.000000
  3, -51.000000, -62.000000
  4, -22.000000, -62.000000
  5, -22.000000, -63.000000
  6, -1.000000, -63.000000
  7, -10.000000, -63.000000
  8, -36.000000, -62.000000
  9, -25.000000, -63.000000
  10, -29.000000, -62.000000
  11, -10.000000, -63.000000
  12, -80.000000, -62.000000
  13, 50.000000, -62.000000
  14, -35.000000, -63.000000
  15, -31.000000, -62.000000
  16, -16.000000, -62.000000
  17, -34.000000, -62.000000
  18, -31.000000, -61.000000
  19, 8.000000, -64.000000
