Genetic Algorithm Run Parameters and Results
Run directory: Results\GA_20251121_150201
Timestamp: 20251121_150201

Parameters:
  chromosome_length      = 68
  population_size        = 20
  max_generations        = 200
  crossover_rate         = 0.8
  mutation_rate_start    = 0.9
  mutation_rate_end      = 0.05
  mutation_step_start    = 0.5
  mutation_step_end      = 0.02
  tournament_k           = 3
  num_cores              = 19
  death_penalty_scale    = 10.0
  training_seeds         = [0, 1, 2, 3, 4]
  validation_seeds       = [10, 11, 12]
  max_hours              = None
  gene_resolution        = 0.1
  stagnation_patience    = 20
  stagnation_boost_factor= 1.5
  stagnation_max_mut_rate= 0.7
  stagnation_max_mut_step= 0.3

Summary:
  total_time_seconds     = 11871.3521
  best_overall_training  = -9.200000
  best_validation_avg    = -18.666667
  num_generations_ran    = 200

Per generation scores:
  gen_index, training_avg, validation_avg
  0, -40.600000, -40.000000
  1, -38.000000, -18.666667
  2, -36.800000, -39.666667
  3, -36.800000, -39.666667
  4, -31.200000, -45.000000
  5, -31.200000, -45.000000
  6, -31.200000, -45.000000
  7, -31.200000, -45.000000
  8, -31.200000, -45.000000
  9, -31.200000, -45.000000
  10, -25.200000, -45.000000
  11, -25.200000, -45.000000
  12, -25.200000, -45.000000
  13, -25.200000, -45.000000
  14, -25.200000, -45.000000
  15, -25.200000, -45.000000
  16, -25.200000, -45.000000
  17, -25.200000, -45.000000
  18, -25.200000, -45.000000
  19, -25.200000, -45.000000
  20, -25.200000, -45.000000
  21, -25.200000, -45.000000
  22, -25.200000, -45.000000
  23, -25.200000, -45.000000
  24, -25.200000, -45.000000
  25, -25.200000, -45.000000
  26, -25.200000, -45.000000
  27, -25.200000, -45.000000
  28, -25.200000, -45.000000
  29, -25.200000, -45.000000
  30, -25.200000, -45.000000
  31, -25.200000, -45.000000
  32, -25.200000, -45.000000
  33, -25.200000, -45.000000
  34, -25.200000, -45.000000
  35, -25.200000, -45.000000
  36, -25.200000, -45.000000
  37, -25.200000, -45.000000
  38, -25.200000, -45.000000
  39, -25.200000, -45.000000
  40, -25.200000, -45.000000
  41, -25.200000, -45.000000
  42, -25.200000, -45.000000
  43, -25.200000, -45.000000
  44, -25.200000, -45.000000
  45, -25.200000, -45.000000
  46, -25.200000, -45.000000
  47, -23.800000, -47.000000
  48, -23.800000, -47.000000
  49, -23.800000, -47.000000
  50, -23.800000, -47.000000
  51, -23.800000, -47.000000
  52, -23.800000, -47.000000
  53, -23.800000, -47.000000
  54, -23.800000, -47.000000
  55, -23.800000, -47.000000
  56, -23.800000, -47.000000
