Genetic Algorithm Run Parameters and Results
Run directory: Results\GA_20251123_181911
Timestamp: 20251123_181911

Parameters:
  chromosome_length         = 177
  population_size           = 40
  max_generations           = 200
  crossover_rate            = 0.8
  mutation_rate_start       = 0.9
  mutation_rate_end         = 0.05
  mutation_step_start       = 0.9
  mutation_step_end         = 0.02
  tournament_k              = 3
  num_cores                 = 19
  death_penalty_scale       = 10.0
  training_mode             = fixed_maps
  num_training_maps         = 2
  training_map_names        = ['training1', 'training2']
  max_hours                 = None
  gene_resolution           = 0.001
  stagnation_patience       = 20
  stagnation_boost_factor   = 1.5
  stagnation_max_mut_rate   = 0.7
  stagnation_max_mut_step   = 0.3
  elite_fraction            = 0.1
  min_elites                = 2
  immigrant_fraction        = 0.05

Summary:
  total_time_seconds        = 2926.7028
  best_overall_training     = 27.512946
  num_generations_ran       = 200

Per generation scores:
  gen_index, training_best, pop_avg, pop_median, pop_min, pop_max
  0, 6.366667, -0.099708, -1.650000, -2.100000, 6.366667
  1, 15.530831, 1.763122, 0.225000, -2.100000, 15.530831
  2, 15.530831, 1.947968, 0.000000, -2.100000, 15.530831
  3, 15.530831, 3.840891, 2.775000, -2.100000, 15.530831
  4, 15.530831, 3.031913, 1.401316, -2.100000, 15.530831
  5, 15.871875, 4.063327, 2.671154, -2.100000, 15.871875
  6, 15.871875, 3.952139, 3.092308, -2.100000, 15.871875
  7, 15.871875, 3.989504, 3.836083, -2.100000, 15.871875
  8, 15.871875, 4.158298, 3.115625, -2.100000, 15.871875
  9, 15.871875, 3.158994, 1.237500, -2.100000, 15.871875
  10, 16.020000, 4.207270, 3.867332, -2.100000, 16.020000
  11, 16.020000, 4.477699, 3.675000, -2.100000, 16.020000
  12, 17.894382, 4.177390, 2.087338, -2.100000, 17.894382
  13, 17.894382, 4.968268, 3.739773, -2.100000, 17.894382
  14, 17.894382, 4.856416, 2.313462, -2.100000, 17.894382
  15, 17.894382, 5.649490, 4.772584, -2.100000, 17.894382
  16, 21.420560, 5.355117, 2.950000, -2.100000, 21.420560
  17, 21.420560, 6.252178, 5.689105, -2.100000, 21.420560
  18, 21.420560, 5.147462, 4.141288, -2.100000, 21.420560
  19, 21.420560, 4.969595, 3.507143, -2.100000, 21.420560
  20, 21.420560, 5.577467, 3.825000, -2.100000, 21.420560
  21, 21.420560, 4.842281, 0.666667, -2.100000, 21.420560
  22, 21.420560, 5.723044, 4.523512, -2.100000, 21.420560
  23, 21.420560, 4.238271, 3.312500, -2.100000, 21.420560
