agent,scenario,run,fitness,asteroids_hit,accuracy,deaths,shots_fired,wall_time,mean_eval_ms,error
GA-Evolved,training1,0,528.4304932735425,640,0.9506726457399103,4,669,2.6414476999780163,1476.4889766176732,
GA-Evolved,training1,1,528.4304932735425,640,0.9506726457399103,4,669,2.6394156999886036,1473.4391137052417,
GA-Evolved,training1,2,528.4304932735425,640,0.9506726457399103,4,669,2.643549600034021,1474.9343662321905,
GA-Evolved,training2,0,236.85800604229607,280,0.8459214501510574,0,331,2.0791344000026584,1371.6719014174573,
GA-Evolved,training2,1,236.85800604229607,280,0.8459214501510574,0,331,2.0719322000513785,1365.9303356791559,
GA-Evolved,training2,2,236.85800604229607,280,0.8459214501510574,0,331,2.0748817000421695,1367.3771876000105,
GA-Evolved,training3,0,-74.0,26,1.0,5,21,0.030098200018983334,12.564912508241832,
GA-Evolved,training3,1,-74.0,26,1.0,5,21,0.030153100029565394,12.626032957807183,
GA-Evolved,training3,2,-74.0,26,1.0,5,21,0.030307400040328503,12.68047194601968,
GA-Evolved,crush,0,156.09756097560975,160,0.975609756097561,0,164,0.7154018000001088,439.442829454046,
GA-Evolved,crush,1,156.09756097560975,160,0.975609756097561,0,164,0.7144494999665767,438.74280643180253,
GA-Evolved,crush,2,156.09756097560975,160,0.975609756097561,0,164,0.7136306999600492,438.4705968716892,
GA-Evolved,aim_trainer,0,91.71974522292994,120,0.7643312101910829,0,157,0.26856419997056946,159.09045627872112,
GA-Evolved,aim_trainer,1,91.71974522292994,120,0.7643312101910829,0,157,0.2696501999744214,159.78868196454155,
GA-Evolved,aim_trainer,2,91.71974522292994,120,0.7643312101910829,0,157,0.2692348000127822,159.3977205669471,
Hand-Tuned,training1,0,-45.27536231884058,64,0.855072463768116,5,69,0.3389385999762453,157.25439954773995,
Hand-Tuned,training1,1,-45.27536231884058,64,0.855072463768116,5,69,0.33917739999014884,157.4586734570901,
Hand-Tuned,training1,2,-45.27536231884058,64,0.855072463768116,5,69,0.34427529998356476,159.30290607836358,
Hand-Tuned,training2,0,33.595744680851055,161,0.8297872340425532,5,188,1.5835928000160493,710.7997507263423,
Hand-Tuned,training2,1,33.595744680851055,161,0.8297872340425532,5,188,1.594453900004737,715.1409277992017,
Hand-Tuned,training2,2,33.595744680851055,161,0.8297872340425532,5,188,1.5966578000225127,714.5913744560106,
Hand-Tuned,training3,0,-73.0,27,1.0,5,22,0.03611440001986921,14.048329803324837,
Hand-Tuned,training3,1,-73.0,27,1.0,5,22,0.03741599997738376,14.87118023792495,
Hand-Tuned,training3,2,-73.0,27,1.0,5,22,0.03650400001788512,14.299235275132538,
Hand-Tuned,crush,0,157.05521472392638,160,0.9815950920245399,0,163,0.35248080000746995,211.7025358753366,
Hand-Tuned,crush,1,157.05521472392638,160,0.9815950920245399,0,163,0.3526702999952249,212.04605771605364,
Hand-Tuned,crush,2,157.05521472392638,160,0.9815950920245399,0,163,0.3525626999908127,212.1360479138046,
Hand-Tuned,aim_trainer,0,40.45454545454545,120,0.6704545454545454,2,176,0.49506929999915883,302.55129366435733,
Hand-Tuned,aim_trainer,1,40.45454545454545,120,0.6704545454545454,2,176,0.4961899999761954,302.6564974537974,
Hand-Tuned,aim_trainer,2,40.45454545454545,120,0.6704545454545454,2,176,0.4960436999681406,302.72177306890757,
