scope,metric,ga_mean,ga_std,ht_mean,ht_std
training1,fitness,528.4305,0.0000,-45.2754,0.0000
training1,asteroids_hit,640.0000,0.0000,64.0000,0.0000
training1,accuracy,0.9507,0.0000,0.8551,0.0000
training1,deaths,4.0000,0.0000,5.0000,0.0000
training1,shots_fired,669.0000,0.0000,69.0000,0.0000
training2,fitness,236.8580,0.0000,33.5957,0.0000
training2,asteroids_hit,280.0000,0.0000,161.0000,0.0000
training2,accuracy,0.8459,0.0000,0.8298,0.0000
training2,deaths,0.0000,0.0000,5.0000,0.0000
training2,shots_fired,331.0000,0.0000,188.0000,0.0000
training3,fitness,-74.0000,0.0000,-73.0000,0.0000
training3,asteroids_hit,26.0000,0.0000,27.0000,0.0000
training3,accuracy,1.0000,0.0000,1.0000,0.0000
training3,deaths,5.0000,0.0000,5.0000,0.0000
training3,shots_fired,21.0000,0.0000,22.0000,0.0000
crush,fitness,156.0976,0.0000,157.0552,0.0000
crush,asteroids_hit,160.0000,0.0000,160.0000,0.0000
crush,accuracy,0.9756,0.0000,0.9816,0.0000
crush,deaths,0.0000,0.0000,0.0000,0.0000
crush,shots_fired,164.0000,0.0000,163.0000,0.0000
aim_trainer,fitness,91.7197,0.0000,40.4545,0.0000
aim_trainer,asteroids_hit,120.0000,0.0000,120.0000,0.0000
aim_trainer,accuracy,0.7643,0.0000,0.6705,0.0000
aim_trainer,deaths,0.0000,0.0000,2.0000,0.0000
aim_trainer,shots_fired,157.0000,0.0000,176.0000,0.0000
OVERALL,fitness,187.8212,198.6009,22.5660,80.3297
OVERALL,asteroids_hit,245.2000,213.5700,106.4000,53.1812
OVERALL,accuracy,0.9073,0.0887,0.8674,0.1191
OVERALL,deaths,1.8000,2.2271,3.4000,2.0591
OVERALL,shots_fired,268.4000,223.1211,123.6000,65.9533
