generation,best_fitness,run_id,experiment
0,-10.442148760330582,Simultaneous_Proposed_trial_0,phase2_ablation
1,98.88105352591333,Simultaneous_Proposed_trial_0,phase2_ablation
2,98.88105352591333,Simultaneous_Proposed_trial_0,phase2_ablation
3,106.9210072028097,Simultaneous_Proposed_trial_0,phase2_ablation
4,107.05555555555556,Simultaneous_Proposed_trial_0,phase2_ablation
5,107.05555555555556,Simultaneous_Proposed_trial_0,phase2_ablation
6,116.60398860398861,Simultaneous_Proposed_trial_0,phase2_ablation
7,146.75232198142413,Simultaneous_Proposed_trial_0,phase2_ablation
8,146.75232198142413,Simultaneous_Proposed_trial_0,phase2_ablation
9,146.75232198142413,Simultaneous_Proposed_trial_0,phase2_ablation
10,146.75232198142413,Simultaneous_Proposed_trial_0,phase2_ablation
11,146.75232198142413,Simultaneous_Proposed_trial_0,phase2_ablation
12,146.75232198142413,Simultaneous_Proposed_trial_0,phase2_ablation
13,146.75232198142413,Simultaneous_Proposed_trial_0,phase2_ablation
14,146.75232198142413,Simultaneous_Proposed_trial_0,phase2_ablation
15,146.75232198142413,Simultaneous_Proposed_trial_0,phase2_ablation
16,146.75232198142413,Simultaneous_Proposed_trial_0,phase2_ablation
17,146.75232198142413,Simultaneous_Proposed_trial_0,phase2_ablation
18,146.75232198142413,Simultaneous_Proposed_trial_0,phase2_ablation
19,146.75232198142413,Simultaneous_Proposed_trial_0,phase2_ablation
20,146.75232198142413,Simultaneous_Proposed_trial_0,phase2_ablation
21,146.75232198142413,Simultaneous_Proposed_trial_0,phase2_ablation
22,146.75232198142413,Simultaneous_Proposed_trial_0,phase2_ablation
23,146.75232198142413,Simultaneous_Proposed_trial_0,phase2_ablation
24,146.75232198142413,Simultaneous_Proposed_trial_0,phase2_ablation
25,146.75232198142413,Simultaneous_Proposed_trial_0,phase2_ablation
26,146.75232198142413,Simultaneous_Proposed_trial_0,phase2_ablation
27,146.75232198142413,Simultaneous_Proposed_trial_0,phase2_ablation
28,146.75232198142413,Simultaneous_Proposed_trial_0,phase2_ablation
29,146.75232198142413,Simultaneous_Proposed_trial_0,phase2_ablation
30,146.75232198142413,Simultaneous_Proposed_trial_0,phase2_ablation
31,146.75232198142413,Simultaneous_Proposed_trial_0,phase2_ablation
32,146.75232198142413,Simultaneous_Proposed_trial_0,phase2_ablation
33,146.75232198142413,Simultaneous_Proposed_trial_0,phase2_ablation
34,146.75232198142413,Simultaneous_Proposed_trial_0,phase2_ablation
35,146.75232198142413,Simultaneous_Proposed_trial_0,phase2_ablation
36,146.75232198142413,Simultaneous_Proposed_trial_0,phase2_ablation
37,184.53365767359577,Simultaneous_Proposed_trial_0,phase2_ablation
38,184.53365767359577,Simultaneous_Proposed_trial_0,phase2_ablation
39,184.53365767359577,Simultaneous_Proposed_trial_0,phase2_ablation
40,184.53365767359577,Simultaneous_Proposed_trial_0,phase2_ablation
41,184.53365767359577,Simultaneous_Proposed_trial_0,phase2_ablation
42,184.53365767359577,Simultaneous_Proposed_trial_0,phase2_ablation
0,32.70208828971716,Simultaneous_Proposed_trial_1,phase2_ablation
1,32.70208828971716,Simultaneous_Proposed_trial_1,phase2_ablation
2,71.79251700680271,Simultaneous_Proposed_trial_1,phase2_ablation
3,118.1864547722443,Simultaneous_Proposed_trial_1,phase2_ablation
4,118.1864547722443,Simultaneous_Proposed_trial_1,phase2_ablation
5,118.1864547722443,Simultaneous_Proposed_trial_1,phase2_ablation
6,118.1864547722443,Simultaneous_Proposed_trial_1,phase2_ablation
7,118.1864547722443,Simultaneous_Proposed_trial_1,phase2_ablation
8,118.1864547722443,Simultaneous_Proposed_trial_1,phase2_ablation
9,132.52520918257883,Simultaneous_Proposed_trial_1,phase2_ablation
10,132.52520918257883,Simultaneous_Proposed_trial_1,phase2_ablation
11,132.52520918257883,Simultaneous_Proposed_trial_1,phase2_ablation
12,132.52520918257883,Simultaneous_Proposed_trial_1,phase2_ablation
13,132.52520918257883,Simultaneous_Proposed_trial_1,phase2_ablation
14,132.52520918257883,Simultaneous_Proposed_trial_1,phase2_ablation
15,132.52520918257883,Simultaneous_Proposed_trial_1,phase2_ablation
16,132.52520918257883,Simultaneous_Proposed_trial_1,phase2_ablation
17,132.52520918257883,Simultaneous_Proposed_trial_1,phase2_ablation
18,132.52520918257883,Simultaneous_Proposed_trial_1,phase2_ablation
19,132.52520918257883,Simultaneous_Proposed_trial_1,phase2_ablation
20,132.52520918257883,Simultaneous_Proposed_trial_1,phase2_ablation
21,132.52520918257883,Simultaneous_Proposed_trial_1,phase2_ablation
22,132.52520918257883,Simultaneous_Proposed_trial_1,phase2_ablation
23,132.52520918257883,Simultaneous_Proposed_trial_1,phase2_ablation
24,132.52520918257883,Simultaneous_Proposed_trial_1,phase2_ablation
25,132.52520918257883,Simultaneous_Proposed_trial_1,phase2_ablation
26,133.93448275862067,Simultaneous_Proposed_trial_1,phase2_ablation
27,135.4730963671278,Simultaneous_Proposed_trial_1,phase2_ablation
28,142.49775808690083,Simultaneous_Proposed_trial_1,phase2_ablation
29,144.55255231452125,Simultaneous_Proposed_trial_1,phase2_ablation
30,144.55255231452125,Simultaneous_Proposed_trial_1,phase2_ablation
31,144.55255231452125,Simultaneous_Proposed_trial_1,phase2_ablation
32,153.1713053568645,Simultaneous_Proposed_trial_1,phase2_ablation
33,153.1713053568645,Simultaneous_Proposed_trial_1,phase2_ablation
34,153.1713053568645,Simultaneous_Proposed_trial_1,phase2_ablation
35,153.1713053568645,Simultaneous_Proposed_trial_1,phase2_ablation
36,153.1713053568645,Simultaneous_Proposed_trial_1,phase2_ablation
37,153.1713053568645,Simultaneous_Proposed_trial_1,phase2_ablation
38,153.1713053568645,Simultaneous_Proposed_trial_1,phase2_ablation
39,153.1713053568645,Simultaneous_Proposed_trial_1,phase2_ablation
40,153.1713053568645,Simultaneous_Proposed_trial_1,phase2_ablation
41,153.1713053568645,Simultaneous_Proposed_trial_1,phase2_ablation
0,18.626903553299485,Simultaneous_Proposed_trial_2,phase2_ablation
1,59.930449122126284,Simultaneous_Proposed_trial_2,phase2_ablation
2,59.930449122126284,Simultaneous_Proposed_trial_2,phase2_ablation
3,92.14754098360656,Simultaneous_Proposed_trial_2,phase2_ablation
4,102.30230279274866,Simultaneous_Proposed_trial_2,phase2_ablation
5,103.62755996194483,Simultaneous_Proposed_trial_2,phase2_ablation
6,125.34504792332268,Simultaneous_Proposed_trial_2,phase2_ablation
7,125.34504792332268,Simultaneous_Proposed_trial_2,phase2_ablation
8,125.34504792332268,Simultaneous_Proposed_trial_2,phase2_ablation
9,125.34504792332268,Simultaneous_Proposed_trial_2,phase2_ablation
10,133.47857142857143,Simultaneous_Proposed_trial_2,phase2_ablation
11,133.47857142857143,Simultaneous_Proposed_trial_2,phase2_ablation
12,133.47857142857143,Simultaneous_Proposed_trial_2,phase2_ablation
13,133.47857142857143,Simultaneous_Proposed_trial_2,phase2_ablation
14,133.47857142857143,Simultaneous_Proposed_trial_2,phase2_ablation
15,133.47857142857143,Simultaneous_Proposed_trial_2,phase2_ablation
16,133.47857142857143,Simultaneous_Proposed_trial_2,phase2_ablation
17,133.47857142857143,Simultaneous_Proposed_trial_2,phase2_ablation
18,133.47857142857143,Simultaneous_Proposed_trial_2,phase2_ablation
19,133.47857142857143,Simultaneous_Proposed_trial_2,phase2_ablation
20,133.47857142857143,Simultaneous_Proposed_trial_2,phase2_ablation
21,133.47857142857143,Simultaneous_Proposed_trial_2,phase2_ablation
22,133.47857142857143,Simultaneous_Proposed_trial_2,phase2_ablation
23,133.47857142857143,Simultaneous_Proposed_trial_2,phase2_ablation
24,133.47857142857143,Simultaneous_Proposed_trial_2,phase2_ablation
25,137.48701298701297,Simultaneous_Proposed_trial_2,phase2_ablation
26,137.48701298701297,Simultaneous_Proposed_trial_2,phase2_ablation
27,146.2251407129456,Simultaneous_Proposed_trial_2,phase2_ablation
28,146.2251407129456,Simultaneous_Proposed_trial_2,phase2_ablation
29,146.2251407129456,Simultaneous_Proposed_trial_2,phase2_ablation
30,146.2251407129456,Simultaneous_Proposed_trial_2,phase2_ablation
31,146.2251407129456,Simultaneous_Proposed_trial_2,phase2_ablation
32,146.2251407129456,Simultaneous_Proposed_trial_2,phase2_ablation
33,146.2251407129456,Simultaneous_Proposed_trial_2,phase2_ablation
34,146.2251407129456,Simultaneous_Proposed_trial_2,phase2_ablation
35,146.2251407129456,Simultaneous_Proposed_trial_2,phase2_ablation
36,146.2251407129456,Simultaneous_Proposed_trial_2,phase2_ablation
37,146.2251407129456,Simultaneous_Proposed_trial_2,phase2_ablation
38,146.2251407129456,Simultaneous_Proposed_trial_2,phase2_ablation
39,146.2251407129456,Simultaneous_Proposed_trial_2,phase2_ablation
40,146.2251407129456,Simultaneous_Proposed_trial_2,phase2_ablation
41,187.23657365736574,Simultaneous_Proposed_trial_2,phase2_ablation
42,187.23657365736574,Simultaneous_Proposed_trial_2,phase2_ablation
43,187.23657365736574,Simultaneous_Proposed_trial_2,phase2_ablation
44,187.23657365736574,Simultaneous_Proposed_trial_2,phase2_ablation
45,187.23657365736574,Simultaneous_Proposed_trial_2,phase2_ablation
46,187.23657365736574,Simultaneous_Proposed_trial_2,phase2_ablation
47,187.23657365736574,Simultaneous_Proposed_trial_2,phase2_ablation
48,187.23657365736574,Simultaneous_Proposed_trial_2,phase2_ablation
49,187.23657365736574,Simultaneous_Proposed_trial_2,phase2_ablation
50,187.23657365736574,Simultaneous_Proposed_trial_2,phase2_ablation
51,187.23657365736574,Simultaneous_Proposed_trial_2,phase2_ablation
0,99.4506172839506,Fixed_Structure_Baseline_trial_0,phase2_ablation
1,99.4506172839506,Fixed_Structure_Baseline_trial_0,phase2_ablation
2,100.92900302114803,Fixed_Structure_Baseline_trial_0,phase2_ablation
3,100.92900302114803,Fixed_Structure_Baseline_trial_0,phase2_ablation
4,100.92900302114803,Fixed_Structure_Baseline_trial_0,phase2_ablation
5,108.08821034775234,Fixed_Structure_Baseline_trial_0,phase2_ablation
6,117.53813017751479,Fixed_Structure_Baseline_trial_0,phase2_ablation
7,117.53813017751479,Fixed_Structure_Baseline_trial_0,phase2_ablation
8,128.04931360789016,Fixed_Structure_Baseline_trial_0,phase2_ablation
9,136.83915217909026,Fixed_Structure_Baseline_trial_0,phase2_ablation
10,141.9516129032258,Fixed_Structure_Baseline_trial_0,phase2_ablation
11,141.9516129032258,Fixed_Structure_Baseline_trial_0,phase2_ablation
12,142.97857142857143,Fixed_Structure_Baseline_trial_0,phase2_ablation
13,148.15930599369085,Fixed_Structure_Baseline_trial_0,phase2_ablation
14,148.15930599369085,Fixed_Structure_Baseline_trial_0,phase2_ablation
15,148.15930599369085,Fixed_Structure_Baseline_trial_0,phase2_ablation
16,164.72862760242953,Fixed_Structure_Baseline_trial_0,phase2_ablation
17,164.72862760242953,Fixed_Structure_Baseline_trial_0,phase2_ablation
18,164.72862760242953,Fixed_Structure_Baseline_trial_0,phase2_ablation
19,164.72862760242953,Fixed_Structure_Baseline_trial_0,phase2_ablation
20,164.72862760242953,Fixed_Structure_Baseline_trial_0,phase2_ablation
21,164.72862760242953,Fixed_Structure_Baseline_trial_0,phase2_ablation
22,164.72862760242953,Fixed_Structure_Baseline_trial_0,phase2_ablation
23,164.72862760242953,Fixed_Structure_Baseline_trial_0,phase2_ablation
24,164.72862760242953,Fixed_Structure_Baseline_trial_0,phase2_ablation
25,164.72862760242953,Fixed_Structure_Baseline_trial_0,phase2_ablation
26,164.72862760242953,Fixed_Structure_Baseline_trial_0,phase2_ablation
27,164.72862760242953,Fixed_Structure_Baseline_trial_0,phase2_ablation
28,164.72862760242953,Fixed_Structure_Baseline_trial_0,phase2_ablation
29,172.4737194958434,Fixed_Structure_Baseline_trial_0,phase2_ablation
30,172.4737194958434,Fixed_Structure_Baseline_trial_0,phase2_ablation
31,172.4737194958434,Fixed_Structure_Baseline_trial_0,phase2_ablation
32,172.4737194958434,Fixed_Structure_Baseline_trial_0,phase2_ablation
33,172.4737194958434,Fixed_Structure_Baseline_trial_0,phase2_ablation
34,172.4737194958434,Fixed_Structure_Baseline_trial_0,phase2_ablation
35,172.4737194958434,Fixed_Structure_Baseline_trial_0,phase2_ablation
36,172.4737194958434,Fixed_Structure_Baseline_trial_0,phase2_ablation
37,172.4737194958434,Fixed_Structure_Baseline_trial_0,phase2_ablation
38,172.4737194958434,Fixed_Structure_Baseline_trial_0,phase2_ablation
39,172.4737194958434,Fixed_Structure_Baseline_trial_0,phase2_ablation
40,172.4737194958434,Fixed_Structure_Baseline_trial_0,phase2_ablation
41,181.79041587136328,Fixed_Structure_Baseline_trial_0,phase2_ablation
42,181.79041587136328,Fixed_Structure_Baseline_trial_0,phase2_ablation
43,181.79041587136328,Fixed_Structure_Baseline_trial_0,phase2_ablation
0,2.5523410345532582,Fixed_Structure_Baseline_trial_1,phase2_ablation
1,83.50949859856742,Fixed_Structure_Baseline_trial_1,phase2_ablation
2,85.82993197278911,Fixed_Structure_Baseline_trial_1,phase2_ablation
3,104.76284584980237,Fixed_Structure_Baseline_trial_1,phase2_ablation
4,104.76284584980237,Fixed_Structure_Baseline_trial_1,phase2_ablation
5,104.76284584980237,Fixed_Structure_Baseline_trial_1,phase2_ablation
6,104.76284584980237,Fixed_Structure_Baseline_trial_1,phase2_ablation
7,108.94103724329969,Fixed_Structure_Baseline_trial_1,phase2_ablation
8,108.94103724329969,Fixed_Structure_Baseline_trial_1,phase2_ablation
9,108.94103724329969,Fixed_Structure_Baseline_trial_1,phase2_ablation
10,108.94103724329969,Fixed_Structure_Baseline_trial_1,phase2_ablation
11,108.94103724329969,Fixed_Structure_Baseline_trial_1,phase2_ablation
12,108.94103724329969,Fixed_Structure_Baseline_trial_1,phase2_ablation
13,108.94103724329969,Fixed_Structure_Baseline_trial_1,phase2_ablation
14,108.94103724329969,Fixed_Structure_Baseline_trial_1,phase2_ablation
15,108.94103724329969,Fixed_Structure_Baseline_trial_1,phase2_ablation
16,108.94103724329969,Fixed_Structure_Baseline_trial_1,phase2_ablation
17,108.94103724329969,Fixed_Structure_Baseline_trial_1,phase2_ablation
18,108.94103724329969,Fixed_Structure_Baseline_trial_1,phase2_ablation
19,108.94103724329969,Fixed_Structure_Baseline_trial_1,phase2_ablation
20,112.08796814731863,Fixed_Structure_Baseline_trial_1,phase2_ablation
21,112.08796814731863,Fixed_Structure_Baseline_trial_1,phase2_ablation
22,112.08796814731863,Fixed_Structure_Baseline_trial_1,phase2_ablation
23,112.08796814731863,Fixed_Structure_Baseline_trial_1,phase2_ablation
24,112.08796814731863,Fixed_Structure_Baseline_trial_1,phase2_ablation
25,112.08796814731863,Fixed_Structure_Baseline_trial_1,phase2_ablation
26,115.33869969040248,Fixed_Structure_Baseline_trial_1,phase2_ablation
27,124.04597107438016,Fixed_Structure_Baseline_trial_1,phase2_ablation
